,Children,Age,Income,Marital,Gender,Churn,Tenure,MonthlyCharge
0,0,68,28561.99,Widowed,Male,No,6.795512947,172.455519
1,1,27,21704.77,Married,Female,Yes,1.156680997,242.632554
2,4,50,9609.57,Widowed,Female,No,15.75414408,159.947583
3,1,48,18925.23,Married,Male,No,17.08722662,119.95684
4,0,83,40074.19,Separated,Male,Yes,1.670971726,149.948316
5,3,83,22660.2,Never Married,Female,No,7.000993555,185.007692
6,0,79,11467.5,Widowed,Male,Yes,13.23677381,200.118516
7,2,30,26759.64,Married,Female,Yes,4.26425515,114.950905
8,2,49,58634.51,Separated,Nonbinary,No,8.220686373,117.468591
9,1,86,50231.4,Married,Female,No,3.422086139,162.482694
10,7,23,22580.7,Separated,Female,No,19.26726194,174.958118
11,2,56,18342.12,Married,Female,No,10.52199781,149.962093
12,0,83,83671.08,Divorced,Male,No,13.01149229,137.439154
13,5,29,115114.57,Separated,Female,No,16.87922024,184.971516
14,1,30,64256.81,Separated,Male,Yes,10.06019902,159.965581
15,3,39,89061.45,Divorced,Male,Yes,13.87001293,177.65076
16,0,63,31659.3,Married,Female,Yes,15.78214958,194.966286
17,2,60,44142.81,Separated,Male,Yes,2.303331273,202.682861
18,3,61,39262.14,Widowed,Female,No,17.10995632,152.490739
19,3,23,19494.75,Divorced,Male,Yes,12.80615845,149.944668
20,4,38,39624.21,Never Married,Male,No,20.45390977,184.978458
21,3,30,45714.47,Divorced,Male,No,2.415991977,127.495766
22,3,52,27442.03,Widowed,Male,No,6.652298992,124.964303
23,2,68,79699.62,Divorced,Male,No,8.543717478,149.948316
24,3,75,28520.32,Widowed,Female,Yes,5.770390256,162.511928
25,1,77,12558.83,Separated,Male,Yes,4.157658837,92.455141
26,1,47,8762.23,Married,Female,Yes,10.40566091,222.649979
27,0,70,43882.72,Widowed,Female,Yes,1.392421597,139.981577
28,3,20,10482.52,Separated,Female,Yes,1.430386349,200.132293
29,4,69,33442.79,Never Married,Male,Yes,5.425864884,257.651257
30,9,45,43383.54,Married,Male,No,11.08287797,230.105118
31,0,40,21793.88,Never Married,Female,No,3.586184954,147.489301
32,6,82,51960.51,Divorced,Female,Yes,4.727388465,230.105118
33,5,74,25942.1,Separated,Male,Yes,20.89923386,174.958118
34,4,69,11211.59,Widowed,Male,Yes,3.471329958,267.664655
35,1,52,8283.29,Never Married,Male,Yes,5.478588204,162.483267
36,2,26,10114.81,Never Married,Female,Yes,3.312991809,229.993134
37,1,25,36229.21,Never Married,Female,No,7.161561527,140.00128
38,1,66,25397.44,Divorced,Female,No,9.847563364,184.964681
39,1,72,50336.5,Divorced,Male,No,16.04202196,147.473844
40,3,21,38211.37,Divorced,Female,No,9.179779682,172.457857
41,3,55,52887.26,Married,Male,No,3.002844144,107.481989
42,4,41,12003.33,Divorced,Male,Yes,3.924254455,255.141716
43,4,32,24090.62,Never Married,Male,No,18.55959629,192.456745
44,0,22,15137.93,Never Married,Female,Yes,8.798394712,242.632554
45,2,44,54458.38,Divorced,Female,Yes,10.377366,245.174977
46,2,23,132116.33,Divorced,Male,Yes,22.25746016,184.964681
47,3,43,37358.13,Never Married,Female,Yes,9.427146079,195.006206
48,1,86,26534.16,Separated,Female,No,7.760290062,104.962874
49,2,84,76430.83,Married,Female,No,11.56938439,92.488023
50,2,62,4662.37,Separated,Female,Yes,3.343811019,184.979684
51,5,68,43820.85,Divorced,Female,Yes,7.338869531,187.656013
52,1,59,38391.55,Never Married,Female,No,5.486534225,149.962093
53,0,31,44137.6,Separated,Female,Yes,1.55278221,169.944668
54,0,51,14364.65,Widowed,Male,Yes,12.07970325,160.00128
